symbol,sector,price,swing_low,last_swing_high,sl_percent,retracement,rs,rs_trend,rs_change
VENTIVE,Consumer Cyclical,614.2,616.25,624.85,1.73,26.72,0.89,⚠️ Collapsing,-6.3
VINATIORGA,Basic Materials,1325.2,1306.0,1341.8,1.25,33.75,0.89,🟢 Bouncing,1.1
TECHNOE,Industrials,1039.7,1040.3,1051.0,1.09,34.17,0.91,🔴 Fading,-1.1
KSCL,Basic Materials,856.4,863.3,873.9,2.04,29.73,0.92,🟢 Bouncing,1.1
RAILTEL,Communication Services,304.45,298.65,308.15,1.22,27.91,0.92,⚠️ Collapsing,-4.2
SJVN,Utilities,70.42,69.87,70.8,0.54,29.28,0.92,🔴 Fading,-2.1
STARCEMENT,Basic Materials,204.64,203.4,207.0,1.15,33.46,0.92,🔴 Fading,-1.1
SUPREMEIND,Industrials,3352.0,3180.0,3208.3,-4.29,27.43,0.92,🔴 Fading,-2.1
M&M,Consumer Cyclical,3097.2,3086.2,3130.0,1.06,18.49,0.93,🟢 Bouncing,1.1
PNB,Financial Services,105.08,100.8,106.45,1.3,19.99,0.93,⚠️ Collapsing,-4.1
SBFC,Financial Services,91.23,90.24,92.53,1.42,25.83,0.93,🔴 Fading,0.0
RAMCOCEM,Basic Materials,928.4,908.6,939.8,1.23,23.56,0.93,🟢 Bouncing,6.9
POLICYBZR,Financial Services,1563.0,1553.8,1597.0,2.18,20.82,0.94,🔴 Fading,-1.1
RTNPOWER,Utilities,8.91,8.8,9.05,1.57,45.67,0.94,🔴 Fading,-2.1
SARDAEN,Basic Materials,497.65,490.95,504.95,1.47,22.21,0.94,⚠️ Collapsing,-4.1
TEGA,Industrials,1687.4,1638.2,1696.1,0.52,20.59,0.94,⚠️ Collapsing,-6.9
UCOBANK,Financial Services,26.15,26.0,26.88,2.79,22.26,0.94,⚠️ Collapsing,-6.9
LUMAXTECH,Consumer Cyclical,1439.9,1451.1,1468.0,1.95,24.14,0.95,⚠️ Collapsing,-12.8
RCF,Basic Materials,128.86,129.1,131.51,2.06,20.34,0.96,⚠️ Collapsing,-4.0
SANDUMA,Basic Materials,202.24,201.0,205.0,1.36,25.92,0.96,⚠️ Collapsing,-8.6
SUBROS,Consumer Cyclical,809.15,796.8,820.85,1.45,33.33,0.97,🟢 Bouncing,10.2
TEAMLEASE,Industrials,1409.4,1392.0,1423.0,0.96,32.89,0.97,🟢 Bouncing,2.1
TIMKEN,Industrials,3146.3,3145.1,3247.1,3.2,19.84,0.97,⚠️ Collapsing,-14.2
VESUVIUS,Industrials,467.5,458.2,470.0,0.53,22.87,0.97,🟢 Bouncing,3.2
ZFCVINDIA,Consumer Cyclical,2311.5,2319.0,2367.9,2.44,23.93,0.97,⚠️ Collapsing,-7.6
LT,Industrials,3862.9,3905.0,3939.0,1.97,12.15,0.98,⚠️ Collapsing,-9.3
MGL,Utilities,1105.0,1089.0,1114.5,0.86,27.54,0.98,⚠️ Collapsing,-5.8
MEDPLUS,Healthcare,815.25,807.1,822.55,0.9,20.25,0.98,⚠️ Collapsing,-6.7
PRINCEPIPE,Industrials,265.25,261.45,269.75,1.7,27.88,0.98,⚠️ Collapsing,-4.9
SURYAROSNI,Basic Materials,248.85,253.4,256.0,2.87,27.79,0.98,⚠️ Collapsing,-3.9
KRBL,Consumer Defensive,357.5,359.65,375.0,4.9,27.15,0.99,⚠️ Collapsing,-3.9
NTPC,Utilities,350.55,343.2,353.95,0.97,15.41,0.99,🔴 Fading,-2.0
PTC,Utilities,169.81,167.69,171.55,1.02,26.01,0.99,⚠️ Collapsing,-13.2
RECLTD,Financial Services,348.0,350.75,352.6,1.32,10.18,0.99,🔴 Fading,-2.9
TI,Consumer Defensive,448.3,444.15,453.45,1.15,18.45,0.99,🟢 Bouncing,4.2
VBL,Consumer Defensive,468.3,465.5,478.7,2.22,15.74,0.99,⚠️ Collapsing,-14.7
LICHSGFIN,Financial Services,544.4,531.5,551.8,1.36,14.31,1.0,🔴 Fading,-2.0
MMTC,Industrials,64.15,63.42,64.8,1.01,18.12,1.0,⚠️ Collapsing,-16.0
NHPC,Utilities,78.96,78.44,79.3,0.43,9.9,1.0,🟢 Bouncing,5.3
NAVA,Industrials,595.65,586.5,604.1,1.42,19.44,1.0,🔴 Fading,-2.0
POWERGRID,Utilities,283.95,280.0,285.4,0.51,12.62,1.0,🔴 Fading,-1.0
RITES,Industrials,222.9,222.6,226.0,1.39,19.01,1.0,🟢 Bouncing,6.4
SAMHI,Consumer Cyclical,173.37,168.46,177.0,2.09,31.88,1.0,🟢 Bouncing,5.3
TIINDIA,Industrials,2822.8,2900.0,2910.9,3.12,17.39,1.0,⚠️ Collapsing,-13.0
VSTIND,Consumer Defensive,237.9,247.65,250.6,5.34,17.81,1.0,⚠️ Collapsing,-3.8
WAAREERTL,Industrials,989.9,978.0,1002.0,1.22,27.11,1.0,🟢 Bouncing,3.1
MAHSEAMLES,Basic Materials,586.95,582.0,597.1,1.73,20.45,1.01,⚠️ Collapsing,-3.8
NSLNISP,Basic Materials,43.16,42.36,43.39,0.53,19.7,1.01,⚠️ Collapsing,-9.8
PPLPHARMA,Healthcare,172.58,166.25,177.2,2.68,21.86,1.01,🟢 Bouncing,7.4
POLYMED,Healthcare,1634.1,1618.0,1674.9,2.5,26.59,1.01,🟢 Bouncing,11.0
V2RETAIL,Consumer Cyclical,220.05,219.69,231.27,5.1,15.12,1.01,⚠️ Collapsing,-6.5
PATELENG,Industrials,30.87,31.5,31.49,2.01,27.82,1.02,🟢 Bouncing,2.0
PFC,Financial Services,406.15,400.15,406.0,-0.04,16.52,1.02,⚠️ Collapsing,-6.4
SANOFICONR,Healthcare,4561.0,4505.2,4647.7,1.9,15.98,1.02,🔴 Fading,-1.0
SUZLON,Industrials,52.52,53.07,53.63,2.11,23.1,1.02,⚠️ Collapsing,-10.5
WEBELSOLAR,Technology,97.96,97.66,101.84,3.96,37.72,1.02,⚠️ Collapsing,-4.7
ANUP,Industrials,2129.1,2135.7,2324.0,9.15,27.09,1.03,🟢 Bouncing,8.4
UNITDSPR,Consumer Defensive,1374.5,1340.38,1385.8,0.82,6.5,1.03,🟢 Bouncing,6.2
MAXHEALTH,Healthcare,1103.5,1083.3,1151.0,4.3,15.08,1.04,🟢 Bouncing,8.3
PRAJIND,Industrials,352.3,351.75,360.85,2.43,30.3,1.04,🟢 Bouncing,4.0
SAMMAANCAP,Financial Services,161.84,163.0,166.24,2.72,16.12,1.04,⚠️ Collapsing,-9.6
SCHAEFFLER,Consumer Cyclical,4130.0,4047.0,4165.0,0.85,7.09,1.04,🔴 Fading,-1.0
SIEMENS,Industrials,3444.1,3426.0,3473.3,0.85,12.53,1.04,⚠️ Collapsing,-6.3
UNIONBANK,Financial Services,167.87,154.45,168.79,0.55,15.9,1.04,🔴 Fading,-2.8
TORNTPOWER,Utilities,1456.0,1357.3,1385.0,-4.88,19.9,1.05,🟢 Bouncing,2.9
