symbol,sector,price,last_swing_low,sl_percent,retracement,rs,rs_trend,rs_change,bars_since_pivot,is_fresh
EMR,Industrials,156.91000366210938,145.1,7.53,4.83,20.35,🚀 Accelerating,11.0,6,True
ABNB,Consumer Discretionary,151.63999938964844,148.65,1.97,3.11,19.67,🟢 Steady,0.3,2,True
EXR,Real Estate,149.5399932861328,145.72,2.55,5.88,19.4,🟢 Steady,2.1,4,True
ARES,Financials,138.1699981689453,121.29,12.22,26.62,17.92,🚀 Accelerating,11.4,4,False
BX,Financials,133.4499969482422,124.45,6.74,26.95,17.31,🚀 Accelerating,7.6,5,True
DG,Consumer Staples,127.44999694824219,124.5,2.31,18.66,16.53,🚀 Accelerating,5.3,2,True
AFL,Financials,126.66000366210938,122.43,3.34,2.73,16.43,🟢 Steady,2.1,12,False
CSCO,Information Technology,120.87999725341797,111.66,7.63,6.93,15.68,⚠️ Fading,-2.1,5,True
COP,Energy,116.76000213623047,113.21,3.04,13.43,15.14,🚀 Accelerating,5.2,7,True
ABT,Health Care,107.95999908447266,102.89,4.7,19.66,14.0,🚀 Accelerating,13.7,4,True
SCHW,Financials,107.66000366210938,103.07,4.26,1.27,13.96,🟢 Steady,2.6,5,True
CLX,Consumer Staples,105.5999984741211,94.2,10.8,17.04,13.7,🚀 Accelerating,7.5,4,False
ACGL,Financials,99.29000091552734,99.14,0.15,7.28,12.88,⚠️ Fading,-3.5,5,True
KO,Consumer Staples,86.8499984741211,85.16,1.95,4.48,11.26,🟢 Steady,2.2,2,True
DXCM,Health Care,83.0199966430664,73.24,11.78,5.5,10.77,🚀 Accelerating,8.8,5,False
ADM,Consumer Staples,77.51000213623047,77.3,0.27,12.38,10.05,⚠️ Fading,-5.3,3,True
COO,Health Care,73.31999969482422,71.15,2.96,18.38,9.51,🟢 Steady,1.9,4,True
TECH,Health Care,71.9000015258789,71.45,0.63,0.65,9.33,⚠️ Fading,-0.9,12,False
BRO,Financials,71.18000030517578,69.28,2.67,27.06,9.23,🚀 Accelerating,3.3,4,True
BXP,Real Estate,68.80999755859375,67.21,2.33,9.4,8.92,🟢 Steady,1.1,10,True
BMY,Health Care,64.1500015258789,62.23,2.99,5.8,8.32,🚀 Accelerating,9.5,5,True
BAC,Financials,63.0,60.91,3.32,1.52,8.17,🚀 Accelerating,3.7,6,True
BKR,Energy,62.75,54.42,13.27,10.58,8.14,🚀 Accelerating,7.1,12,False
FAST,Industrials,50.79999923706055,46.35,8.76,0.22,6.59,🚀 Accelerating,8.0,5,False
CSX,Industrials,50.70000076293945,49.42,2.52,5.41,6.58,🟢 Steady,0.9,2,True
AMCR,Materials,47.060001373291016,44.41,5.63,4.85,6.1,🚀 Accelerating,7.0,4,True
DVN,Energy,43.11000061035156,42.41,1.62,17.63,5.59,🟢 Steady,0.3,7,True
APA,Energy,36.529998779296875,34.12,6.6,18.89,4.74,🚀 Accelerating,8.1,7,True
DOW,Materials,30.299999237060547,28.69,5.31,28.39,3.93,🟢 Steady,2.6,2,True
BF-B,Consumer Staples,28.270000457763672,27.12,4.07,9.13,3.67,🚀 Accelerating,6.2,2,True
BAX,Health Care,27.010000228881836,21.4,20.77,9.97,3.5,🚀 Accelerating,17.2,10,False
